total_false_alarm,total_missed_detection,total_speaker_confusion,speech_total,classification_error,total_frames,ece,exname,domain,selection,direction,seed,duration,der
27661.0,123628.0,31784.0,489048.0,214857.0,426608,7.583761960268021,restaurant-random-worst-soft_segmentation-v1-a3__1200@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,random,worst,3,1200,37.43456675009406
14719.0,11400.0,13279.0,356093.0,52677.0,497221,2.2162964567542076,maptask-confidence-worst-soft_segmentation-v1-a2__120@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,2,120,11.063963627479339
10681.0,11481.0,10859.0,356093.0,43880.0,497221,1.2504463084042072,maptask-random-worst-soft_segmentation-v1-a1__1200@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,random,worst,1,1200,9.27313932034609
23381.0,66464.0,17441.0,513222.0,124727.0,456494,6.574966758489609,meeting-random-worst-soft_segmentation-v1-a1__240@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,1,240,20.90440394215369
22173.0,69644.0,54736.0,559416.0,201289.0,842082,6.7708030343055725,clinical-random-worst-soft_segmentation-v1-a3__30@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,random,worst,3,30,26.197498820198206
97073.0,131668.0,35494.0,617187.0,299729.0,616179,9.29836854338646,webvideo-confidence-worst-soft_segmentation-v1-a1__30@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,confidence,worst,1,30,42.81279417745351
20886.0,7884.0,2694.0,338534.0,34158.0,427487,2.3521438241004944,broadcast_interview-confidence-worst-soft_segmentation-v1-a2__240@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,confidence,worst,2,240,9.294192016163812
9388.0,12048.0,10880.0,398798.0,43196.0,453564,1.6109183430671692,court-confidence-worst-soft_segmentation-v1-a2__240@DIHARD_court.SpeakerDiarization.Adaptation.development,court,confidence,worst,2,240,8.103350568458218
63637.0,46151.0,47418.0,559416.0,204624.0,842082,0.46007903292775154,clinical-confidence-worst-soft_segmentation-v1-a2__30@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,2,30,28.101806169290832
6182.0,14000.0,10718.0,398798.0,41618.0,453564,3.0135584995150566,court-random-worst-soft_segmentation-v1-a2__300@DIHARD_court.SpeakerDiarization.Adaptation.development,court,random,worst,2,300,7.748283592194545
5789.0,5205.0,33.0,355044.0,11060.0,421627,0.18324936972931027,audiobooks-random-worst-soft_segmentation-v1-a2__300@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,random,worst,2,300,3.105812237356497
9490.0,14866.0,11874.0,356093.0,48104.0,497221,0.8542616851627827,maptask-random-worst-soft_segmentation-v1-a3__240@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,random,worst,3,240,10.174308396963715
26633.0,60284.0,16932.0,513222.0,120781.0,456494,3.010842949151993,meeting-random-worst-soft_segmentation-v1-a2__600@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,2,600,20.23471324300205
28452.0,126732.0,30396.0,489048.0,215976.0,426608,9.695751965045929,restaurant-random-worst-soft_segmentation-v1-a1__600@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,random,worst,1,600,37.94719536732591
18264.0,10878.0,13312.0,356093.0,55766.0,497221,4.946886375546455,maptask-confidence-worst-soft_segmentation-v1-a1__60@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,1,60,11.92216640035047
13765.0,12971.0,15283.0,356093.0,57302.0,497221,0.686382595449686,maptask-confidence-worst-soft_segmentation-v1-a3__30@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,3,30,11.800007301463381
4696.0,5167.0,0.0,355044.0,9863.0,421627,0.750493723899126,audiobooks-confidence-worst-soft_segmentation-v1-a2__300@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,confidence,worst,2,300,2.7779655479320873
30948.0,133161.0,29616.0,489048.0,223341.0,426608,14.215271174907684,restaurant-confidence-worst-soft_segmentation-v1-a2__300@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,2,300,39.61267605633803
21066.0,29406.0,11780.0,460658.0,74032.0,563732,2.3675955832004547,socio_lab-random-worst-soft_segmentation-v1-a3__300@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,3,300,13.51371299315327
32972.0,53810.0,51150.0,559416.0,189082.0,842082,0.6116758100688457,clinical-confidence-worst-soft_segmentation-v1-a1__120@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,1,120,24.656427417163613
20508.0,156304.0,26415.0,489048.0,229642.0,426608,11.713970452547073,restaurant-confidence-worst-soft_segmentation-v1-a1__60@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,1,60,41.555634620732526
14463.0,36221.0,12924.0,460658.0,76532.0,563732,0.6945856846868992,socio_lab-confidence-worst-soft_segmentation-v1-a3__240@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,confidence,worst,3,240,13.808074536858147
166561.0,131476.0,83170.0,2153456.0,464377.0,2092020,0.559576228260994,cts-confidence-worst-soft_segmentation-v1-a1__180@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,confidence,worst,1,180,17.702103038093185
3547.0,5339.0,21.0,355044.0,8928.0,421627,0.3524739760905504,audiobooks-random-worst-soft_segmentation-v1-a3__600@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,random,worst,3,600,2.508703146652246
