total_false_alarm,total_missed_detection,total_speaker_confusion,speech_total,classification_error,total_frames,ece,domain,der
45905.0,940.0,5431.0,443354.0,57707.0,526521,4.08366322517395,audiobooks,11.791029290363909
62494.0,2233.0,3275.0,423261.0,71277.0,534432,7.8245580196380615,broadcast_interview,16.066209738199362
149801.0,69523.0,73019.0,698056.0,365362.0,1050405,10.542229562997818,clinical,41.87959132218619
53087.0,7089.0,14046.0,498798.0,88268.0,567248,7.6992228627204895,court,14.880171933327722
205241.0,173415.0,106158.0,2691917.0,590972.0,2615025,1.1689414270222187,cts,18.009990649786005
81828.0,4319.0,31678.0,445176.0,149503.0,621746,6.606157869100571,maptask,26.467060218879723
15975.0,115442.0,19600.0,641451.0,170617.0,570471,12.501753866672516,meeting,23.543029787154435
91457.0,149482.0,39146.0,611344.0,319231.0,533260,8.303828537464142,restaurant,45.81463136957261
54196.0,43823.0,13445.0,428180.0,124909.0,525642,6.5034933388233185,socio_field,26.032042598907
99670.0,32159.0,16305.0,576303.0,164439.0,705251,8.265884965658188,socio_lab,25.70418686003717
79550.0,196009.0,42712.0,771545.0,360983.0,770004,10.316445678472519,webvideo,41.25112598746671
